"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J2";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"GPIO_header";;;
2;"J3";"Pin_Header_Straight_2x04_Pitch2.00mm";1;"Programing Header";;;
3;"U5";"AS726x";1;"AS726x";;;
4;"U3";"Texas_DRT-3";1;"TPD2EUSB30";;;
5;"C1,C10";"C_0402";2;"1uF";;;
6;"C2";"C_0402";1;"470pF";;;
7;"C3";"C_0402";1;"4.7uF";;;
8;"C4";"C_0402";1;"0.33uF";;;
9;"C5";"C_0402";1;"0.1uF";;;
10;"C6";"C_0402";1;"2.2uF";;;
11;"C7";"C_0402";1;"100nF";;;
12;"C8";"C_0402";1;"10uF";;;
13;"D6";"D_1206";1;"L130-5780001400001";;;
14;"J1";"USB_Micro-B_Molex-105017-0001";1;"USB_B_Micro";;;
15;"JP1,JP2,JP3";"R_0402";3;"RC0402JR-070RL";;;
16;"R1,R2";"R_0402";2;"22";;;
17;"R3,R4";"R_0402";2;"R";;;
18;"R7,R8,R9,R10,R11";"R_0402";5;"10K";;;
19;"U1";"SOIC-14_N";1;"MCP2221";;;
20;"U7";"SOIC-8-N";1;"AT25SF041";;;
21;"D8";"SOT-23-6";1;"ESDA6V1-5SC6";;;
22;"U2";"SOT-23-5";1;"MIC5219-3.3YMM";;;
23;"D1";"D_0603";1;"LTST-C191KRKT";;;
24;"D2,D5";"D_0603";2;"LTST-C191KGKT";;;
25;"D3";"D_SOD-523";1;"VESD05A1-02V-G-08";;;
26;"D4";"D_SOD-523";1;"BZT585B3V3T-7";;;
27;"D7";"D_SOD-523";1;"ESD5Z3.3T1G";;;
28;"H2,H3,H4,H1";"MountingHole_2.2mm_M2_Pad";4;"MountingHole";;;
